Movie,LBRating,MovieLength,LengthInHour,Languages,Director,ReleaseYear,Genre,Country,NumberOfReviews,NumberOfRatings,Actors
Deep Water,2.34,116,1:56,English,Adrian Lyne,2022,"Thriller,Drama,Mystery",USA,19727,52213,"Ben Affleck,Ana de Armas,Tracy Letts,Lil Rel Howery,Dash Mihok,Finn Wittrock,Kristen Connolly,Jacob Elordi,Rachel Blanchard,Michael Braun,Jade Fernandez,Grace Jenkins,Brendan Miller"
Lost Highway,3.95,134,2:14,English,David Lynch,1997,"Drama,Mystery,Thriller",USA,13611,94836,"Bill Pullman,Patricia Arquette,Balthazar Getty,Robert Blake,Natasha Gregson Wagner,Richard Pryor,Lucy Butler,Michael Massee,Jack Nance,Jack Kehler,Henry Rollins,Giovanni Ribisi,Scott Coffey,Gary Busey,Robert Loggia,John Roselius,Louis Eppolito,Jenna Maetlind,Michael Shamus Wiles"
Wild at Heart,3.76,124,2:04,English,David Lynch,1990,"Thriller,Crime,Comedy",USA,13201,72039,"Nicolas Cage,Laura Dern,Willem Dafoe,J.E. Freeman,Crispin Glover,Diane Ladd,Calvin Lockhart,Isabella Rossellini,Harry Dean Stanton,Grace Zabriskie,Sherilyn Fenn,Glenn Walker Harris Jr.,Marvin Kaplan,William Morgan Sheppard,David Patrick Kelly,Freddie Jones"
Mon Oncle,3.98,118,1:58,French,Jacques Tati,1958,Comedy,France,3445,20627,"Jacques Tati,Jean-Pierre Zola,Adrienne Servantie,Lucien Frégis,Betty Schneider,Jean-François Martial,Dominique Marie,Yvonne Arnaud,Adelaide Danieli,Alain Bécourt,Régis Fontenay,Jean-Claude Rémoleux,Denise Péronne,Edouard Francomme,André Dino,Claude Badolle"
The Beguiled,3.29,93,1:33,"English,French",Sofia Coppola,2017,Drama,USA,13041,79318,"Colin Farrell,Nicole Kidman,Kirsten Dunst,Elle Fanning,Oona Laurence,Angourie Rice,Addison Riecke,Emma Howard,Wayne Pére,Matt Story,Joel Albin,Eric Ian"
Last Night in Soho,3.49,117,1:57,English,Edgar Wright,2021,"Horror,Thriller,Mystery",UK,80628,252130,"Thomasin McKenzie,Anya Taylor-Joy,Matt Smith,Rita Tushingham,Michael Ajao,Synnøve Karlsen,Pauline McLynn,Terence Stamp,Diana Rigg,Aimée Cassettari,Colin Mace,Jessie Mei Li,Kassius Nelson,Rebecca Harrod,Alan Mahon,Connor Calland,Josh Zaré,Jacqui-Lee Pryce,Elizabeth Berrington,James Phelps,Oliver Phelps"
Toy Story 4,3.59,100,1:40,English,Josh Cooley,2019,"Family,Fantasy,Comedy,Animation,Drama,Adventure",USA,44522,369773,"Tom Hanks,Tim Allen,Annie Potts,Tony Hale,Keegan-Michael Key,Madeleine McGraw,Christina Hendricks,Jordan Peele,Keanu Reeves,Ally Maki,Jay Hernandez,Lori Alan,Joan Cusack,Bonnie Hunt,Kristen Schaal,Emily Davis,Wallace Shawn"
The Godfather: Part III,3.45,170,2:50,"English,Italian,German,Latin",Francis Ford Coppola,1990,"Crime,Thriller,Drama",USA,12793,127556,"Al Pacino,Diane Keaton,Talia Shire,Andy García,Eli Wallach,Joe Mantegna,George Hamilton,Bridget Fonda,Sofia Coppola,Raf Vallone,Franc D'Ambrosio,Donal Donnelly,Richard Bright,Helmut Berger,Don Novello,John Savage,Franco Citti,Mario Donatone,Vittorio Duse,Enzo Robutti,Michele Russo,Al Martino,Robert Cicchini,Rogerio Miranda,Carlos Miranda,Vito Antuofermo,Robert Vento,Willie Brown,Jeannie Linero,Jeanne Savarino Pesch,Janet Savarino Smith,Tere Livrano,Carmine Caridi,Don Costello,Al Ruscio,Mickey Knox"
The Squid and the Whale,3.65,81,1:21,English,Noah Baumbach,2005,"Comedy,Drama",USA,12688,67636,"Jeff Daniels,Laura Linney,Jesse Eisenberg,Owen Kline,William Baldwin,Anna Paquin,David Benger,Elizabeth Meriwether,Alexandra Daddario,Halley Feiffer,Molly Barton,Bo Berkman,Matthew Kaplan,Simon Kaplan,Matthew Kirsch,Daniella Markowicz"
Scenes from a Marriage,4.31,169,2:49,Swedish,Ingmar Bergman,1974,"Romance,Drama",Sweden,4101,22411,"Liv Ullmann,Erland Josephson,Bibi Andersson,Jan Malmsjö,Gunnel Lindblom,Wenche Foss,Bertil Norström,Anita Wall,Rossana Mariano,Lena Bergman,Ingmar Bergman,Barbro Hiort af Ornäs"
