Movie,LBRating,MovieLength,LengthInHour,Languages,Director,ReleaseYear,Genre,Country,NumberOfReviews,NumberOfRatings,Actors
Breathless,3.88,90,1:30,"French,English",Jean-Luc Godard,1960,"Drama,Crime",France,21908,127192,"Jean-Paul Belmondo,Jean Seberg,Daniel Boulanger,Henri-Jacques Huet,Roger Hanin,Van Doude,Claude Mansard,Liliane Dreyfus,Michel Fabre,Jean-Pierre Melville,Jean-Luc Godard,Richard Balducci"
Indiana Jones and the Temple of Doom,3.61,118,1:58,"English,Chinese,Sinhalese, Sinhala",Steven Spielberg,1984,"Action,Adventure",USA,23476,297217,"Harrison Ford,Kate Capshaw,Ke Huy Quan,Amrish Puri,Roshan Seth,Philip Stone,Roy Chiao,David Yip,Ric Young,Chua Kah Joo,Rex Ngui,Philip Tan,Dan Aykroyd,Akio Mitamura,Michael Yama,D.R. Nanayakkara,Dharmadasa Kuruppu,Stany De Silva,Ruby de Mel,Denavaka Hamine,Iranganie Serasinghe,Dharshana Panangala,Raj Singh,Frank Olegario,Ahmed El Shenawi,Arthur F. Repola,Nizwar Karanj,Pat Roach,Moti Makan,Mellan Mitchell,Bhasker Patel,Arjun Pandher"
La Dolce Vita,4.21,176,2:56,"Italian,German,English,French",Federico Fellini,1960,"Drama,Comedy",France,8323,67739,"Marcello Mastroianni,Anita Ekberg,Anouk Aimée,Yvonne Furneaux,Magali Noël,Alain Cuny,Annibale Ninchi,Walter Santesso,Valeria Ciangottini,Riccardo Garrone,Ida Galli,Audrey McDonald,Polidor,Alain Dijon,Mino Doro,Giulio Girola,Laura Betti,Nico,Domino,Carlo Musto,Enzo Cerusico,Giulio Paradisi,Enzo Doria,Enrico Glori,Adriana Moneta,Massimo Busetti,Lex Barker,Jacques Sernas,Nadia Gray,Giuseppe Addobbati,Conte Brunoro Serego Aligheri,Gabriella Andreini,Federika André,Armando Annuale,Joan Antequera,Juan Antequero,Gianni Baghino,Nadia Balabine,Ignazio Balsamo,Remo Benedetti,Andrea Bianchi,Lars Bloch,Leonardo Botta,Ida Bracci Dorati,Ferdinando Brofferio,Giovanna Busetti,Tito Buzzo,Daniela Calvino,Tony Campanino,Fabrizio Capucci,Donato Castellaneta,Adriano Celentano,Elisabetta Cini,Giulio Citti,Leo Coleman,Nani Colombo,Mario Conocchia,Francesco Consalvo,Tiziano Cortini,Decimo Cristiani,Mario De Grenet,Andrea De Pino,Adele De Rossi,Donatella Della Nora,Christine Denise,Katherine Denise,Carlo Di Maggio,François Dieudonné"
"Synecdoche, New York",4.11,124,2:04,"English,German",Charlie Kaufman,2008,Drama,USA,31608,140659,"Philip Seymour Hoffman,Samantha Morton,Jennifer Jason Leigh,Michelle Williams,Catherine Keener,Emily Watson,Tom Noonan,Sadie Goldstein,Hope Davis,Dianne Wiest,Kristen Bush,Alice Drummond,Amy Wright,Deirdre O'Connell"
The King of Comedy,4.15,109,1:49,English,Martin Scorsese,1982,"Comedy,Drama",USA,28259,162706,"Robert De Niro,Jerry Lewis,Diahnne Abbott,Sandra Bernhard,Shelley Hack,Frederick de Cordova,Kim Chan,Ed Herlihy,Lou Brown,Margo Winkler,Ralph Monaco,Catherine Scorsese,Cathy Scorsese,Loretta Tupper,Peter Potulski,Vinnie Gonzales,Whitey Ryan,Doc Lawless,Marta Heflin,Chuck Low,Katherine Wallach,Charles Kaleina,Richard Baratz,Leslie Levinson,Alan Potashnick,Michael Kolba,Robert Colston,Ramon Rodriguez,Chuck Coop"
A Ghost Story,3.75,93,1:33,English,David Lowery,2017,"Drama,Fantasy",USA,37656,198208,"Casey Affleck,Rooney Mara,Will Oldham,Liz Cardenas Franke,Sonia Acevedo,Carlos Bermudez,Yasmina Gutierrez,Brea Grant,Augustine Frizzell,David Lowery,Kesha,Rob Zabrecky,Grover Coulson,Kenneisha Thompson,McColm Kona Cephas Jr.,Barlow Jacobs,Chris Gardner,Bryan Pitts"
Masters of the Universe,2.45,106,1:46,English,Gary Goddard,1987,"Adventure,Thriller,Action,Science Fiction,Fantasy",USA,2553,17738,"Dolph Lundgren,Frank Langella,Meg Foster,Billy Barty,Courteney Cox,Robert Duncan McNeill,Jon Cypher,Chelsea Field,James Tolkan,Christina Pickles,Tony Carroll,Pons Maar,Anthony De Longis,Robert Towers"
The Iron Giant,4.18,86,1:26,English,Brad Bird,1999,"Animation,Science Fiction,Drama,Family",USA,20687,259298,"Vin Diesel,Eli Marienthal,Jennifer Aniston,Harry Connick Jr.,James Gammon,Cloris Leachman,Christopher McDonald,John Mahoney,M. Emmet Walsh,Jack Angel,Bob Bergen,Mary Kay Bergman,Michael Bird"
Moonlight,4.21,111,1:51,English,Barry Jenkins,2016,Drama,UK,65376,650980,"Trevante Rhodes,André Holland,Janelle Monáe,Ashton Sanders,Jharrel Jerome,Alex Hibbert,Jaden Piner,Naomie Harris,Mahershala Ali,Shariff Earp,Duan Sanderson,Herman 'Caheej' McGloun,Kamal Ani-Bellow,Keomi Givens,Eddie Blanchard,Rudi Goblen"
Pulp Fiction,4.29,154,2:34,"English,Spanish,French",Quentin Tarantino,1994,"Crime,Thriller",USA,90947,1345465,"John Travolta,Samuel L. Jackson,Uma Thurman,Bruce Willis,Ving Rhames,Harvey Keitel,Eric Stoltz,Tim Roth,Amanda Plummer,Maria de Medeiros,Quentin Tarantino,Christopher Walken,Rosanna Arquette,Peter Greene,Duane Whitaker,Angela Jones,Phil LaMarr,Steve Buscemi,Bronagh Gallagher,Laura Lovelace,Frank Whaley,Burr Steers"
