Movie,LBRating,MovieLength,LengthInHour,Languages,Director,ReleaseYear,Genre,Country,NumberOfReviews,NumberOfRatings,Actors
Memories of Murder,4.3,131,2:11,"Korean,English",Bong Joon-ho,2003,"Crime,Drama,Thriller",South Korea,35933,212876,"Song Kang-ho,Kim Sang-kyung,Kim Roi-ha,Song Jae-ho,Byun Hee-bong,Go Seo-hee,Ryu Tae-ho,Park No-shik,Park Hae-il,Jeon Mi-seon,Seo Young-hwa,Woo Go-na,Choi Jong-ryul,Yoo Seung-mok,Shin Hyun-jong"
Psycho,4.3,109,1:49,English,Alfred Hitchcock,1960,"Drama,Thriller,Horror",USA,36654,420340,"Anthony Perkins,Janet Leigh,Vera Miles,John Gavin,Martin Balsam,John McIntire,Simon Oakland,Frank Albertson,Patricia Hitchcock,Vaughn Taylor,Lurene Tuttle,John Anderson,Mort Mills,Fletcher Allen"
Pulp Fiction,4.3,154,2:34,"English,Spanish,French",Quentin Tarantino,1994,"Crime,Thriller",USA,66159,1081076,"John Travolta,Samuel L. Jackson,Uma Thurman,Bruce Willis,Ving Rhames,Harvey Keitel,Eric Stoltz,Tim Roth,Amanda Plummer,Maria de Medeiros,Quentin Tarantino,Christopher Walken,Rosanna Arquette,Peter Greene,Duane Whitaker,Angela Jones,Phil LaMarr,Steve Buscemi,Bronagh Gallagher,Laura Lovelace,Frank Whaley,Burr Steers"
The Red Shoes,4.3,133,2:13,"English,Russian,French",Emeric Pressburger,1948,"Drama,Romance",UK,10610,47304,"Moira Shearer,Adolf Wohlbrück,Marius Goring,Léonide Massine,Robert Helpmann,Albert Bassermann,Esmond Knight,Ludmilla Tchérina,Jean Short,Gordon Littmann,Julia Lang,Bill Shine,Austin Trevor"
I Am Cuba,4.3,140,2:20,"Spanish,English",Mikhail Kalatozov,1964,Drama,Cuba,2391,12454,"Sergio Corrieri,Salvador Wood,José Gallardo,Raúl García,Luz María Collazo,Jean Bouise,Alberto Morgan,Celia Rodriguez,Fausto Mirabal,Roberto García York,María de las Mercedes Díez,Bárbara Domínguez"
Once Upon a Time in the West,4.29,166,2:46,"Italian,English",Sergio Leone,1968,"Drama,Western",Italy,11117,99980,"Claudia Cardinale,Henry Fonda,Jason Robards,Charles Bronson,Gabriele Ferzetti,Paolo Stoppa,Woody Strode,Jack Elam,Keenan Wynn,Frank Wolff,Lionel Stander,Frank Braña,Stefano Imparato,Claudio Mancini"
2001: A Space Odyssey,4.29,149,2:29,"English,Russian",Stanley Kubrick,1968,"Science Fiction,Adventure,Mystery",UK,55074,448755,"Keir Dullea,Gary Lockwood,William Sylvester,Douglas Rain,Daniel Richter,Leonard Rossiter,Margaret Tyzack,Robert Beatty,Sean Sullivan,Frank Miller,Ed Bishop,Edwina Carroll,Heather Downham,Penny Brahms,Maggie d'Abo,Chela Matthison,Judy Kiern,Alan Gifford,Ann Gillis,Vivian Kubrick,Kenneth Kendall,Kevin Scott,Martin Amor,Bill Weston"
Macario,4.29,91,1:31,Spanish,Roberto Gavaldón,1960,"Fantasy,Drama",Mexico,1116,7489,"Ignacio López Tarso,Pina Pellicer,Enrique Lucero,Mario Alberto Rodríguez,José Gálvez,Eduardo Fajardo,Consuelo Frank,José Dupeyrón,Celia Tejeda,Luis Aceves Castañeda,Miguel Arenas,Alfredo Wally Barrón,Queta Carrasco,Felipe de Flores,Alicia del Lago,Manuel Dondé"
Sansho the Bailiff,4.29,124,2:04,Japanese,Kenji Mizoguchi,1954,Drama,Japan,2518,17043,"Kinuyo Tanaka,Yoshiaki Hanayagi,Kyōko Kagawa,Eitarō Shindō,Akitake Kôno,Masahiko Tsugawa,Keiko Enami,Masao Shimizu,Ken Mitsuda,Kazukimi Okuni,Yōko Kozono,Noriko Tachibana,Ichirō Sugai,Teruko Omi"
The Given Word,4.29,98,1:38,Portuguese,Anselmo Duarte,1962,Drama,Brazil,778,5350,"Leonardo Villar,Glória Menezes,Dionísio Azevedo,Geraldo del Rey,Roberto Ferreira,Othon Bastos,Antônio Pitanga,Gilberto Marques,Norma Bengell,Jurema Penna,Milton Gaúcho,Enoch Torres,Carlos Torres,João Di Sordi,Veveldo Diniz"
The Ascent,4.29,111,1:51,"Russian,German",Larisa Shepitko,1977,"War,Drama",USSR,3786,17102,"Boris Plotnikov,Vladimir Gostyukhin,Sergey Yakovlev,Lyudmila Polyakova,Viktoriya Goldentul,Anatoliy Solonitsyn,Mariya Vinogradova,Nikolai Sektimenko,Anatoli Chebotaryov,Sergei Kanishchev,Vasili Kravtsov,Mikhail Selyutin,Leonid Yukhin,Aleksandr Zvenigorskiy,Vladimir Rudyy"
Inglourious Basterds,4.29,153,2:33,"English,German,French,Italian",Quentin Tarantino,2009,"Thriller,Drama,Action,War",France,60434,909536,"Brad Pitt,Mélanie Laurent,Christoph Waltz,Eli Roth,Michael Fassbender,Diane Kruger,Daniel Brühl,Til Schweiger,Gedeon Burkhard,Jacky Ido,B. J. Novak,Omar Doom,August Diehl,Denis Ménochet,Sylvester Groth,Martin Wuttke,Mike Myers,Julie Dreyfus,Léa Seydoux,Richard Sammel,Alexander Fehling,Rod Taylor,Samm Levine,Paul Rust,Michael Bacall,Arndt Schwering-Sohnrey,Petra Hartung,Volker Michalowski"
It's a Wonderful Life,4.29,130,2:10,English,Frank Capra,1946,"Fantasy,Family,Drama",USA,29226,191660,"James Stewart,Donna Reed,Lionel Barrymore,Thomas Mitchell,Henry Travers,Beulah Bondi,Frank Faylen,Ward Bond,Gloria Grahame,H.B. Warner,Frank Albertson,Todd Karns,Samuel S. Hinds,Mary Treen,Virginia Patton,Charles Williams,Sarah Edwards,William Edmunds,Lillian Randolph,Argentina Brunetti,Robert J. Anderson,Ronnie Ralph,Jean Gale,Jeanine Ann Roose,Danny Mummert,Georgie Nokes,Sheldon Leonard,Frank Hagney,Ray Walker,Charles Lane,Edward Keane,Carol Coombs,Karolyn Grimes,Larry Simms,Jimmy Hawkins,Jean Acker,Ernie Adams,Monya Andre,Stanley Andrews,Sam Ash,Jack Bailey,Louise Bates,Mary Bayless,Beth Belden,Brooks Benedict,Joseph E. Bernard"
